    1 2,4-D                900.000   10.00    9.00    0.40       74.    0.00
    2 2,4,5-T                5.000   12.00    9.00    0.40       85.    0.00
    3 Aatrex                33.000   60.00    5.00    0.40       80.    0.00
    4 Abate                  0.000   30.00    5.00    0.60  1000000.    0.00
    5 Acaraben              13.000   20.00   10.00    0.10     2000.    0.00
    6 Accelerate        100000.000    7.00    7.00    0.90       20.    0.00
    7 Acclaim                0.800    9.00    5.00    0.20     9490.    0.00
    8 Actellic               9.000   10.00   99.00    1.00     1000.    0.00
    9 Alanap            231000.000   14.00    7.00    0.90       20.    0.00
   10 Alar              100000.000    7.00    4.00    0.90       10.    0.00
   11 Aldrin                 0.100   28.00    2.00    0.10      300.    0.00
   12 Aliette           120000.000    0.10    0.10    0.90       20.    0.00
   13 Ally                9500.000  120.00   30.00    0.80       35.    0.00
   14 Amdro                  0.000   10.00   99.00    1.00   730000.    0.00
   15 Amiben            900000.000   14.00    7.00    0.90       15.    0.00
   16 Amid-Thin W          100.000   10.00    5.00    0.60      100.    0.00
   17 Amitrol T         360000.000   14.00    5.00    0.90      100.    0.00
   18 Ammo                   0.000   30.00    5.00    0.40   100000.    0.00
   19 Antor                105.000   21.00   10.00    0.40     1400.    0.00
   20 A-Rest               650.000  120.00   30.00    0.50      120.    0.00
   21 Arsenal            11000.000   90.00   30.00    0.90      100.    0.00
   22 Arsonate         1000000.000  100.00   30.00    0.90    10000.    0.00
   23 Asana                  0.000   35.00    8.00    0.40     5300.    0.00
   24 Assert              1370.000   35.00   18.00    0.60       66.    0.00
   25 Assert               875.000   35.00   18.00    0.60       35.    0.00
   26 Assure                 0.300   60.00   15.00    0.20      510.    0.00
   27 Asulox            550000.000    7.00    3.00    0.90       40.    0.00
   28 Avenge            817000.000  100.00   30.00    0.90    54500.    0.00
   29 Azodrin          1000000.000   30.00    2.00    0.90        1.    0.00
   30 Balan                  0.100   30.00   10.00    0.20     9000.    0.00
   31 Banol            1000000.000   30.00   15.00    0.90  1000000.    0.00
   32 Banvel            400000.000   14.00    9.00    0.60        2.    0.00
   33 Basagran         2300000.000   20.00    2.00    0.60       34.    0.00
   34 Basta            1370000.000    7.00    4.00    0.90      100.    0.00
   35 Baygon              1800.000   30.00   99.00    1.00       30.    0.00
   36 Bayleton              71.500   26.00    8.00    0.30      300.    0.00
   37 Baytex                 4.200   34.00    2.00    0.60     1500.    0.00
   38 Baythroid              0.000   30.00    5.00    0.40   100000.    0.00
   39 Benlate                2.000  240.00    6.00    0.30     1900.    0.00
   40 Benzex                 0.100  600.00    3.00    0.10    55000.    0.00
   41 Betamix                4.700   30.00    5.00    0.70     2400.    0.00
   42 Betanex                8.000   30.00    5.00    0.70     1500.    0.00
   43 Bidrin           1000000.000   28.00   20.00    0.70       75.    0.00
   44 Bladex               170.000   14.00    5.00    0.60      190.    0.00
   45 Bolero                28.000   21.00    7.00    0.70      900.    0.00
   46 Bolstar                0.300  140.00    0.50    0.60    12000.    0.00
   47 Bordermaster           5.000   25.00    8.00    0.50     1000.    0.00
   48 Botran                 7.000   10.00    4.00    0.50     1000.    0.00
   49 Bravo                  0.600   30.00    5.00    0.50     1380.    0.00
   50 Brom-O-Sol         13400.000   55.00   99.00    1.00       22.    0.00
   51 Broot                 58.000   20.00   99.00    1.00      400.    0.00
   52 Buctril                0.100    7.00    3.00    0.20    10000.    0.00
   53 Butyrac Ester          8.000    7.00    9.00    0.40      500.    0.00
   54 Caparol               33.000   60.00   10.00    0.50      400.    0.00
   55 Carbamate            120.000   17.00    3.00    0.90      300.    0.00
   56 Carbofos             145.000   25.00    3.00    0.90     1800.    0.00
   57 Carsoron              21.200   60.00    5.00    0.40      400.    0.00
   58 Carzol            500000.000  100.00   30.00    0.90  1000000.    0.00
   59 Cerone           1239000.000   10.00    5.00    0.90   100000.    0.00
   60 Chem-Hoe             250.000   10.00    2.00    0.50      200.    0.00
   61 Chlordane              0.100  100.00    2.50    0.10   100000.    0.00
   62 Chopper           500000.000   90.00   30.00    0.80      100.    0.00
   63 Classic             1200.000   40.00   15.00    0.90      110.    0.00
   64 Cobra                  0.100    3.00    2.00    0.20   100000.    0.00
   65 Comite                 0.500   56.00    5.00    0.20     4000.    0.00
   66 Command             1000.000   24.00    3.00    0.80      300.    0.00
   67 Cotoran              110.000   85.00   30.00    0.50      100.    0.00
   68 Counter                5.000    5.00    2.50    0.60      500.    0.00
   69 Crossbow         2100000.000   46.00   15.00    0.90       20.    0.00
   70 Curacron              28.000    8.00    3.00    0.90     2000.    0.00
   71 Cygon              39800.000    7.00    3.00    0.90       20.    0.00
   72 Cyprex               700.000   20.00   10.00    0.50   100000.    0.00
   73 Cythion              130.000    1.00    3.00    0.90     1800.    0.00
   74 Dacamine             890.000   10.00    5.00    0.40       20.    0.00
   75 Dacthal                0.500  100.00   10.00    0.30     5000.    0.00
   76    Dacthal             0.500   20.00   10.00    0.30     5000.    0.00
   77    D. Monoacid      3000.000   10.00   99.00    1.00       20.    0.00
   78    D. Diacid        5780.000  300.00   99.00    1.00        2.    0.00
   79 Dalapon           800000.000   30.00   37.00    0.90        1.    0.00
   80 Dasanit                0.000   24.00    4.00    0.90    10000.    0.00
   81 DDT                    0.100  120.00   10.00    0.10   240000.    0.00
   82 Dedweed           866000.000   25.00    7.00    0.90       20.    0.00
   83 DEF                    2.300   30.00    7.00    0.30     5000.    0.00
   84 Dessicant L-10     17000.00010000.0010000.00    0.90   100000.    0.00
