                        Bioc   Bioc   PrePlt   Bioc   Bioc
R BELD4 name      Num    Type# Equip#   Days    App   Rate
 1Hay               22    186    800      4      1  5000.00
 1Hay_ir            23    186    800      4      1  5000.00
 1Alfalfa           24    186    800      4      1  5000.00
 1Alfalfa_i         25    186    800      4      1  5000.00
 1Other_gra         26    186    800      4      1  5000.00
 1Other_gra         27    186    800      4      1  5000.00
 1Barley            28    186    800      4      1  5000.00
 1Barley_ir         29    186    800      4      1  5000.00
 1BeansEdib         30    186    800      4      1  5000.00
 1BeansEdib         31    186    800      4      1  5000.00
 1CornGrain         32    186    800      4      1  5000.00
 1CornGrain         33    186    800      4      1  5000.00
 1CornSilag         34    186    800      4      1  5000.00
 1CornSilag         35    186    800      4      1  5000.00
 1Cotton            36    186    800      4      1  5000.00
 1Cotton_ir         37    186    800      4      1  5000.00
 1Oats              38    186    800      4      1  5000.00
 1Oats_ir           39    186    800      4      1  5000.00
 1Peanuts           40    186    800      4      1  5000.00
 1Peanuts_i         41    186    800      4      1  5000.00
 1Potatoes          42    186    800      4      1  5000.00
 1Potatoes_         43    186    800      4      1  5000.00
 1Rice              44    186    800      4      1  5000.00
 1Rice_ir           45    186    800      4      1  5000.00
 1Rye               46    186    800      4      1  5000.00
 1Rye_ir            47    186    800      4      1  5000.00
 1SorghumGr         48    186    800      4      1  5000.00
 1SorghumGrr        49    186    800      4      1  5000.00
 1SorghumSi         50    186    800      4      1  5000.00
 1SorghumSiir       51    186    800      4      1  5000.00
 1Soybeans          52    186    800      4      1  5000.00
 1Soybeans_         53    186    800      4      1  5000.00
 1Wheat_Spr         54    186    800      4      1  5000.00
 1Wheat_Sprr        55    186    800      4      1  5000.00
 1Wheat_Win         56    186    800      4      1  5000.00
 1Wheat_Winr        57    186    800      4      1  5000.00
 1Other_Cro         58    186    800      4      1  5000.00
 1Other_Cro         59    186    800      4      1  5000.00
 1Canola            60    186    800      4      1  5000.00
 1Canola_ir         61    186    800      4      1  5000.00
 1Peas              62    186    800      4      1  5000.00
 1Peas_ir           63    186    800      4      1  5000.00
 2Hay               22    186    800      4      1  5000.00
 2Hay_ir            23    186    800      4      1  5000.00
 2Alfalfa           24    186    800      4      1  5000.00
 2Alfalfa_i         25    186    800      4      1  5000.00
 2Other_gra         26    186    800      4      1  5000.00
 2Other_gra         27    186    800      4      1  5000.00
 2Barley            28    186    800      4      1  5000.00
 2Barley_ir         29    186    800      4      1  5000.00
 2BeansEdib         30    186    800      4      1  5000.00
 2BeansEdib         31    186    800      4      1  5000.00
 2CornGrain         32    186    800      4      1  5000.00
 2CornGrain         33    186    800      4      1  5000.00
 2CornSilag         34    186    800      4      1  5000.00
 2CornSilag         35    186    800      4      1  5000.00
 2Cotton            36    186    800      4      1  5000.00
 2Cotton_ir         37    186    800      4      1  5000.00
 2Oats              38    186    800      4      1  5000.00
 2Oats_ir           39    186    800      4      1  5000.00
 2Peanuts           40    186    800      4      1  5000.00
 2Peanuts_i         41    186    800      4      1  5000.00
 2Potatoes          42    186    800      4      1  5000.00
 2Potatoes_         43    186    800      4      1  5000.00
 2Rice              44    186    800      4      1  5000.00
 2Rice_ir           45    186    800      4      1  5000.00
 2Rye               46    186    800      4      1  5000.00
 2Rye_ir            47    186    800      4      1  5000.00
 2SorghumGr         48    186    800      4      1  5000.00
 2SorghumGrr        49    186    800      4      1  5000.00
 2SorghumSi         50    186    800      4      1  5000.00
 2SorghumSiir       51    186    800      4      1  5000.00
 2Soybeans          52    186    800      4      1  5000.00
 2Soybeans_         53    186    800      4      1  5000.00
 2Wheat_Spr         54    186    800      4      1  5000.00
 2Wheat_Sprr        55    186    800      4      1  5000.00
 2Wheat_Win         56    186    800      4      1  5000.00
 2Wheat_Winr        57    186    800      4      1  5000.00
 2Other_Cro         58    186    800      4      1  5000.00
 2Other_Cro         59    186    800      4      1  5000.00
 2Canola            60    186    800      4      1  5000.00
 2Canola_ir         61    186    800      4      1  5000.00
 2Peas              62    186    800      4      1  5000.00
 2Peas_ir           63    186    800      4      1  5000.00
 3Hay               22    186    800      4      1  5000.00
 3Hay_ir            23    186    800      4      1  5000.00
 3Alfalfa           24    186    800      4      1  5000.00
 3Alfalfa_i         25    186    800      4      1  5000.00
 3Other_gra         26    186    800      4      1  5000.00
 3Other_gra         27    186    800      4      1  5000.00
 3Barley            28    186    800      4      1  5000.00
 3Barley_ir         29    186    800      4      1  5000.00
 3BeansEdib         30    186    800      4      1  5000.00
 3BeansEdib         31    186    800      4      1  5000.00
 3CornGrain         32    186    800      4      1  5000.00
 3CornGrain         33    186    800      4      1  5000.00
 3CornSilag         34    186    800      4      1  5000.00
 3CornSilag         35    186    800      4      1  5000.00
 3Cotton            36    186    800      4      1  5000.00
 3Cotton_ir         37    186    800      4      1  5000.00
 3Oats              38    186    800      4      1  5000.00
 3Oats_ir           39    186    800      4      1  5000.00
 3Peanuts           40    186    800      4      1  5000.00
 3Peanuts_i         41    186    800      4      1  5000.00
 3Potatoes          42    186    800      4      1  5000.00
 3Potatoes_         43    186    800      4      1  5000.00
 3Rice              44    186    800      4      1  5000.00
 3Rice_ir           45    186    800      4      1  5000.00
 3Rye               46    186    800      4      1  5000.00
 3Rye_ir            47    186    800      4      1  5000.00
 3SorghumGr         48    186    800      4      1  5000.00
 3SorghumGrr        49    186    800      4      1  5000.00
 3SorghumSi         50    186    800      4      1  5000.00
 3SorghumSiir       51    186    800      4      1  5000.00
 3Soybeans          52    186    800      4      1  5000.00
 3Soybeans_         53    186    800      4      1  5000.00
 3Wheat_Spr         54    186    800      4      1  5000.00
 3Wheat_Sprr        55    186    800      4      1  5000.00
 3Wheat_Win         56    186    800      4      1  5000.00
 3Wheat_Winr        57    186    800      4      1  5000.00
 3Other_Cro         58    186    800      4      1  5000.00
 3Other_Cro         59    186    800      4      1  5000.00
 3Canola            60    186    800      4      1  5000.00
 3Canola_ir         61    186    800      4      1  5000.00
 3Peas              62    186    800      4      1  5000.00
 3Peas_ir           63    186    800      4      1  5000.00
 4Hay               22    186    800      4      1  5000.00
 4Hay_ir            23    186    800      4      1  5000.00
 4Alfalfa           24    186    800      4      1  5000.00
 4Alfalfa_i         25    186    800      4      1  5000.00
 4Other_gra         26    186    800      4      1  5000.00
 4Other_gra         27    186    800      4      1  5000.00
 4Barley            28    186    800      4      1  5000.00
 4Barley_ir         29    186    800      4      1  5000.00
 4BeansEdib         30    186    800      4      1  5000.00
 4BeansEdib         31    186    800      4      1  5000.00
 4CornGrain         32    186    800      4      1  5000.00
 4CornGrain         33    186    800      4      1  5000.00
 4CornSilag         34    186    800      4      1  5000.00
 4CornSilag         35    186    800      4      1  5000.00
 4Cotton            36    186    800      4      1  5000.00
 4Cotton_ir         37    186    800      4      1  5000.00
 4Oats              38    186    800      4      1  5000.00
 4Oats_ir           39    186    800      4      1  5000.00
 4Peanuts           40    186    800      4      1  5000.00
 4Peanuts_i         41    186    800      4      1  5000.00
 4Potatoes          42    186    800      4      1  5000.00
 4Potatoes_         43    186    800      4      1  5000.00
 4Rice              44    186    800      4      1  5000.00
 4Rice_ir           45    186    800      4      1  5000.00
 4Rye               46    186    800      4      1  5000.00
 4Rye_ir            47    186    800      4      1  5000.00
 4SorghumGr         48    186    800      4      1  5000.00
 4SorghumGrr        49    186    800      4      1  5000.00
 4SorghumSi         50    186    800      4      1  5000.00
 4SorghumSiir       51    186    800      4      1  5000.00
 4Soybeans          52    186    800      4      1  5000.00
 4Soybeans_         53    186    800      4      1  5000.00
 4Wheat_Spr         54    186    800      4      1  5000.00
 4Wheat_Sprr        55    186    800      4      1  5000.00
 4Wheat_Win         56    186    800      4      1  5000.00
 4Wheat_Winr        57    186    800      4      1  5000.00
 4Other_Cro         58    186    800      4      1  5000.00
 4Other_Cro         59    186    800      4      1  5000.00
 4Canola            60    186    800      4      1  5000.00
 4Canola_ir         61    186    800      4      1  5000.00
 4Peas              62    186    800      4      1  5000.00
 4Peas_ir           63    186    800      4      1  5000.00
 5Hay               22    186    800      4      1  5000.00
 5Hay_ir            23    186    800      4      1  5000.00
